sk_tiempo,sk_evento,distinct_id,cantidad_eventos
940,8,1165,161
940,8,4637,10
940,16,1165,9
940,3,$company_538,1
940,3,1165,33
940,17,1165,1
940,6,1165,10
940,6,4849,1
940,4,1165,20
940,5,1165,11
940,2,1165,17
940,2,4637,1
940,14,1165,1
940,10,1165,2
940,12,1165,35
940,13,1165,8
940,11,1165,2
940,7,1165,6
940,9,1165,5
940,1,1030,2
940,1,1045,99
940,1,1048,2
940,1,1049,2
940,1,1074,99
940,1,1087,2
940,1,1180,10
940,1,1182,11
940,1,1269,1
940,1,1332,4
940,1,1333,4
940,1,1335,1
940,1,1336,1
940,1,1352,3
940,1,1353,2
940,1,1355,3
940,1,1369,3
940,1,1380,63
940,1,1385,4
940,1,1390,4
940,1,1412,11
940,1,1425,5
940,1,1495,99
940,1,1498,99
940,1,1500,99
940,1,1526,33
940,1,1539,99
940,1,1541,12
940,1,1572,28
940,1,1585,99
940,1,1618,99
940,1,1622,98
940,1,1639,99
940,1,1795,1
940,1,1803,1
940,1,1823,88
940,1,1860,1
940,1,1875,2
940,1,1919,1
940,1,1965,3
940,1,1970,2
940,1,1982,4
940,1,1984,2
940,1,2025,7
940,1,2026,7
940,1,2073,1
940,1,2077,5
940,1,2081,2
940,1,2121,1
940,1,2136,1
940,1,2162,4
940,1,2177,4
940,1,2179,2
940,1,2267,93
940,1,2406,4
940,1,2443,7
940,1,2452,1
940,1,2456,7
940,1,2458,4
940,1,2527,3
940,1,2583,83
940,1,2591,1
940,1,261,7
940,1,2629,1
940,1,2658,4
940,1,2695,1
940,1,2738,1
940,1,2747,9
940,1,2782,15
940,1,2873,1
940,1,2882,99
940,1,2932,1
940,1,2949,4
940,1,2976,99
940,1,3009,1
940,1,3011,12
940,1,3014,12
940,1,3028,12
940,1,3087,2
940,1,3156,2
940,1,3216,1
940,1,3241,3
940,1,3255,4
940,1,3266,1
940,1,3281,1
940,1,3282,7
940,1,3285,1
940,1,3306,1
940,1,3349,2
940,1,3352,3
940,1,3394,1
940,1,3447,1
940,1,3507,1
940,1,3508,1
940,1,3553,1
940,1,3563,1
940,1,3564,1
940,1,3593,1
940,1,3599,1
940,1,3601,1
940,1,3621,7
940,1,3628,3
940,1,3629,3
940,1,3636,3
940,1,3750,4
940,1,3807,1
940,1,3850,1
940,1,3853,1
940,1,3864,3
940,1,3866,2
940,1,3867,2
940,1,3874,1
940,1,3876,1
940,1,3877,1
940,1,3878,1
940,1,3899,1
940,1,3982,99
940,1,4018,2
940,1,4020,2
940,1,4022,2
940,1,4042,3
940,1,4047,4
940,1,4051,2
940,1,4052,1
940,1,4069,1
940,1,4082,1
940,1,4083,21
940,1,4099,1
940,1,4153,2
940,1,4179,2
940,1,4180,2
940,1,4191,1
940,1,4219,1
940,1,4297,3
940,1,4400,5
940,1,4416,1
940,1,4417,2
940,1,4423,5
940,1,4425,5
940,1,4429,2
940,1,4430,3
940,1,4431,2
940,1,4438,1
940,1,4456,96
940,1,4459,1
940,1,4460,1
940,1,4473,3
940,1,4530,3
940,1,4564,1
940,1,4602,1
940,1,4628,1
940,1,4658,1
940,1,4687,1
940,1,4707,1
940,1,4725,3
940,1,4750,2
940,1,4801,1
940,1,4814,2
940,1,4819,1
940,1,4849,1
940,1,4850,1
940,1,4852,1
940,1,4866,1
940,1,4867,3
940,1,4868,3
940,1,4903,99
940,1,4908,5
940,1,4912,1
940,1,4914,98
940,1,4944,8
940,1,4945,1
940,1,4962,1
940,1,4994,1
940,1,5047,1
940,1,5061,3
940,1,5101,2
940,1,5104,2
940,1,5112,1
940,1,5148,4
940,1,5152,1
940,1,5153,1
940,1,5171,1
940,1,5200,1
940,1,5208,99
940,1,5209,99
940,1,5222,1
940,1,5230,2
940,1,5233,1
940,1,5246,1
940,1,5259,3
940,1,5264,1
940,1,5265,1
940,1,5286,1
940,1,5301,4
940,1,5303,1
940,1,5316,4
940,1,5318,2
940,1,5326,1
940,1,5327,1
940,1,5329,1
940,1,5331,1
940,1,5332,1
940,1,5334,1
940,1,5336,4
940,1,5347,1
940,1,5399,1
940,1,5411,1
940,1,5413,1
940,1,5416,1
940,1,5417,1
940,1,5418,1
940,1,5422,1
940,1,5452,1
940,1,5453,1
940,1,5457,1
940,1,5458,1
940,1,5460,1
940,1,5461,1
940,1,5474,2
940,1,5494,1
940,1,5500,70
940,1,5503,1
940,1,5504,1
940,1,649,1
940,1,667,3
940,1,767,2
940,1,980,4
940,15,1165,1
940,18,1165,1
