sk_cliente,sk_pais,sk_estado_cliente,sk_tiempo_cliente_desde,mrr,arr,cantidad_cliente,flag_cliente_pago,flag_activo,flag_cancelado,flag_past_due,riesgo_churn
184,8.0,1,582.0,0.0,0.0,1,0,0,1,0,Churned
185,1.0,2,584.0,39900.0,478800.0,1,1,1,0,0,Bajo
186,4.0,1,584.0,0.0,0.0,1,0,0,1,0,Churned
187,4.0,1,586.0,0.0,0.0,1,0,0,1,0,Churned
188,7.0,2,592.0,30000.0,360000.0,1,1,1,0,0,Bajo
189,1.0,2,592.0,30000.0,360000.0,1,1,1,0,0,Bajo
190,4.0,2,593.0,29167.0,350004.0,1,1,1,0,0,Bajo
191,3.0,1,593.0,0.0,0.0,1,0,0,1,0,Churned
192,4.0,2,594.0,30000.0,360000.0,1,1,1,0,0,Bajo
193,4.0,1,594.0,0.0,0.0,1,0,0,1,0,Churned
194,8.0,1,599.0,0.0,0.0,1,0,0,1,0,Churned
195,1.0,2,599.0,29167.0,350004.0,1,1,1,0,0,Bajo
196,7.0,1,600.0,0.0,0.0,1,0,0,1,0,Churned
197,3.0,1,616.0,0.0,0.0,1,0,0,1,0,Churned
198,1.0,1,619.0,0.0,0.0,1,0,0,1,0,Churned
199,3.0,2,620.0,29010.0,348120.0,1,1,1,0,0,Bajo
200,3.0,2,622.0,55000.0,660000.0,1,1,1,0,0,Bajo
201,3.0,1,622.0,0.0,0.0,1,0,0,1,0,Churned
202,7.0,2,626.0,33333.0,399996.0,1,1,1,0,0,Bajo
203,1.0,2,627.0,40000.0,480000.0,1,1,1,0,0,Bajo
204,1.0,1,627.0,0.0,0.0,1,0,0,1,0,Churned
205,1.0,1,630.0,0.0,0.0,1,0,0,1,0,Churned
206,4.0,1,630.0,0.0,0.0,1,0,0,1,0,Churned
207,3.0,2,631.0,33333.0,399996.0,1,1,1,0,0,Bajo
208,1.0,1,634.0,0.0,0.0,1,0,0,1,0,Churned
209,3.0,2,640.0,35000.0,420000.0,1,1,1,0,0,Bajo
210,1.0,2,642.0,37500.0,450000.0,1,1,1,0,0,Bajo
211,3.0,1,647.0,0.0,0.0,1,0,0,1,0,Churned
212,4.0,1,647.0,0.0,0.0,1,0,0,1,0,Churned
213,1.0,2,648.0,30000.0,360000.0,1,1,1,0,0,Bajo
214,3.0,1,648.0,0.0,0.0,1,0,0,1,0,Churned
215,1.0,2,648.0,29167.0,350004.0,1,1,1,0,0,Bajo
216,7.0,1,649.0,0.0,0.0,1,0,0,1,0,Churned
217,9.0,1,650.0,0.0,0.0,1,0,0,1,0,Churned
218,3.0,1,651.0,0.0,0.0,1,0,0,1,0,Churned
219,5.0,2,651.0,37500.0,450000.0,1,1,1,0,0,Bajo
220,3.0,1,654.0,0.0,0.0,1,0,0,1,0,Churned
221,1.0,2,656.0,25000.0,300000.0,1,1,1,0,0,Bajo
222,1.0,2,657.0,37500.0,450000.0,1,1,1,0,0,Bajo
223,1.0,2,658.0,25000.0,300000.0,1,1,1,0,0,Bajo
224,1.0,2,658.0,29167.0,350004.0,1,1,1,0,0,Bajo
225,2.0,1,662.0,0.0,0.0,1,0,0,1,0,Churned
226,3.0,1,678.0,0.0,0.0,1,0,0,1,0,Churned
227,3.0,1,682.0,0.0,0.0,1,0,0,1,0,Churned
228,8.0,1,682.0,0.0,0.0,1,0,0,1,0,Churned
229,3.0,3,685.0,30000.0,360000.0,1,1,0,0,1,Alto
230,7.0,1,686.0,0.0,0.0,1,0,0,1,0,Churned
231,8.0,3,689.0,25000.0,300000.0,1,1,0,0,1,Alto
232,3.0,1,690.0,0.0,0.0,1,0,0,1,0,Churned
233,3.0,2,691.0,30000.0,360000.0,1,1,1,0,0,Bajo
234,8.0,1,691.0,0.0,0.0,1,0,0,1,0,Churned
235,1.0,2,692.0,41667.0,500004.0,1,1,1,0,0,Bajo
236,8.0,2,696.0,30000.0,360000.0,1,1,1,0,0,Bajo
237,10.0,1,702.0,0.0,0.0,1,0,0,1,0,Churned
238,3.0,1,705.0,0.0,0.0,1,0,0,1,0,Churned
239,3.0,1,706.0,0.0,0.0,1,0,0,1,0,Churned
240,1.0,1,706.0,0.0,0.0,1,0,0,1,0,Churned
241,1.0,1,707.0,0.0,0.0,1,0,0,1,0,Churned
242,3.0,1,712.0,0.0,0.0,1,0,0,1,0,Churned
243,1.0,1,712.0,0.0,0.0,1,0,0,1,0,Churned
244,3.0,1,712.0,0.0,0.0,1,0,0,1,0,Churned
245,1.0,2,712.0,45000.0,540000.0,1,1,1,0,0,Bajo
246,3.0,1,713.0,0.0,0.0,1,0,0,1,0,Churned
247,3.0,2,713.0,45000.0,540000.0,1,1,1,0,0,Bajo
248,3.0,2,719.0,30000.0,360000.0,1,1,1,0,0,Bajo
249,1.0,2,720.0,30000.0,360000.0,1,1,1,0,0,Bajo
250,8.0,2,720.0,30000.0,360000.0,1,1,1,0,0,Bajo
251,4.0,1,721.0,0.0,0.0,1,0,0,1,0,Churned
252,1.0,1,726.0,0.0,0.0,1,0,0,1,0,Churned
253,7.0,2,728.0,40000.0,480000.0,1,1,1,0,0,Bajo
254,3.0,1,728.0,0.0,0.0,1,0,0,1,0,Churned
255,3.0,1,735.0,0.0,0.0,1,0,0,1,0,Churned
256,1.0,2,738.0,35000.0,420000.0,1,1,1,0,0,Bajo
257,4.0,2,739.0,25000.0,300000.0,1,1,1,0,0,Bajo
258,3.0,2,741.0,40000.0,480000.0,1,1,1,0,0,Bajo
259,3.0,2,741.0,25000.0,300000.0,1,1,1,0,0,Bajo
260,3.0,2,742.0,29167.0,350004.0,1,1,1,0,0,Bajo
261,8.0,2,742.0,40000.0,480000.0,1,1,1,0,0,Bajo
262,3.0,2,745.0,35000.0,420000.0,1,1,1,0,0,Bajo
263,1.0,1,746.0,0.0,0.0,1,0,0,1,0,Churned
264,3.0,2,747.0,30000.0,360000.0,1,1,1,0,0,Bajo
265,6.0,2,748.0,25000.0,300000.0,1,1,1,0,0,Bajo
266,3.0,2,748.0,25000.0,300000.0,1,1,1,0,0,Bajo
267,1.0,2,749.0,29167.0,350004.0,1,1,1,0,0,Bajo
268,8.0,2,749.0,25000.0,300000.0,1,1,1,0,0,Bajo
269,3.0,2,749.0,30000.0,360000.0,1,1,1,0,0,Bajo
270,11.0,1,753.0,0.0,0.0,1,0,0,1,0,Churned
271,2.0,2,754.0,40000.0,480000.0,1,1,1,0,0,Bajo
272,3.0,1,766.0,0.0,0.0,1,0,0,1,0,Churned
273,3.0,1,766.0,0.0,0.0,1,0,0,1,0,Churned
274,3.0,2,767.0,30000.0,360000.0,1,1,1,0,0,Bajo
275,4.0,2,769.0,30000.0,360000.0,1,1,1,0,0,Bajo
276,8.0,2,771.0,35000.0,420000.0,1,1,1,0,0,Bajo
