name,label,type,fieldType
hs_research_agent_id,Research Agent Id,number,number
hs_revenue_range,Revenue range,string,text
hs_sales_email_last_replied,Recent Sales Email Replied Date,datetime,date
hs_searchable_calculated_international_phone_number,Calculated Phone Number with country code,string,phonenumber
hs_searchable_calculated_phone_number,Calculated Phone Number without country code,string,phonenumber
hs_shared_team_ids,Shared teams,enumeration,checkbox
hs_shared_user_ids,Shared users,enumeration,checkbox
hs_signals_summary,Signals Summary,string,text
hs_source_object_id,Source Object ID,number,number
hs_state_code,State/Region Code,string,text
hs_suggested_contact_count,Suggested Contact Count,number,number
hs_target_account,Target Account,enumeration,radio
hs_target_account_probability,Target Account Probability,number,number
hs_target_account_recommendation_snooze_time,Target Account Recommendation Snooze Time,datetime,date
hs_target_account_recommendation_state,Target Account Recommendation State,enumeration,radio
hs_task_label,Company task label,string,calculation_equation
hs_tax_id,Tax Id,enumeration,checkbox
hs_time_in_customer,Time in 'Cliente (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_evangelist,Time in 'Evangelizador (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_lead,Time in 'Lead (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_marketingqualifiedlead,Time in 'MQL (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_opportunity,Time in 'Oportunidad (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_other,Time in 'Otra (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_salesqualifiedlead,Time in 'SQL (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_time_in_subscriber,Time in 'Suscriptor (Lifecycle Stage Pipeline)',number,calculation_read_time
hs_total_deal_value,Total open deal value,number,number
hs_unique_creation_key,Unique creation key,string,text
hs_updated_by_user_id,Updated by user ID,number,number
hs_user_ids_of_all_notification_followers,User IDs of all notification followers,enumeration,checkbox
hs_user_ids_of_all_notification_recipients,All company notification recipients,enumeration,checkbox
hs_user_ids_of_all_notification_unfollowers,User IDs of all notification unfollowers,enumeration,checkbox
hs_user_ids_of_all_owners,User IDs of all owners,enumeration,checkbox
hs_v2_cumulative_time_in_customer,"Cumulative time in ""Cliente (Lifecycle Stage Pipeline)""",number,number
hs_v2_cumulative_time_in_lead,"Cumulative time in ""Lead (Lifecycle Stage Pipeline)""",number,number
hs_v2_cumulative_time_in_marketingqualifiedlead,"Cumulative time in ""MQL (Lifecycle Stage Pipeline)""",number,number
hs_v2_cumulative_time_in_opportunity,"Cumulative time in ""Oportunidad (Lifecycle Stage Pipeline)""",number,number
hs_v2_cumulative_time_in_other,"Cumulative time in ""Otra (Lifecycle Stage Pipeline)""",number,number
